UID          PID    PPID  C STIME TTY          TIME CMD
daadest+    3012    2744  0 07:46 ?        00:00:00 /usr/libexec/ibus-portal
daadest+    3033    2744  0 07:46 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
daadest+    3038    3033  0 07:46 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
daadest+    3045    2744  0 07:46 ?        00:00:02 /usr/libexec/at-spi2-registryd --use-gnome-session
daadest+    3047    2744  0 07:46 ?        00:00:00 /usr/libexec/xdg-desktop-portal
daadest+    3059    2744  0 07:46 ?        00:00:00 /usr/libexec/xdg-document-portal
daadest+    3062    2744  0 07:46 ?        00:00:00 /usr/libexec/xdg-permission-store
daadest+    3073    2744  0 07:46 ?        00:00:01 /usr/libexec/xdg-desktop-portal-gtk
daadest+    3081    2744  0 07:46 ?        00:00:00 /usr/libexec/dconf-service
daadest+    3086    2744  0 07:46 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
daadest+    3094    2744  0 07:46 ?        00:00:01 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
daadest+    3102    2998  0 07:46 ?        00:00:16 /usr/libexec/ibus-engine-simple
daadest+    3114    2744  6 07:46 ?        00:12:22 /usr/bin/gnome-shell
daadest+    3148    2744  0 07:46 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
daadest+    3155    2744  0 07:46 ?        00:00:00 /usr/libexec/evolution-source-registry
daadest+    3163    2744  0 07:46 ?        00:00:00 /usr/libexec/evolution-calendar-factory
daadest+    3174    2744  0 07:46 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
daadest+    3186    2744  0 07:46 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
daadest+    3200    2744  0 07:46 ?        00:00:00 /usr/libexec/gsd-a11y-settings
daadest+    3201    2744  0 07:46 ?        00:00:00 /usr/libexec/gsd-color
daadest+    3202    2744  0 07:46 ?        00:00:00 /usr/libexec/gsd-datetime
daadest+    3204    2744  0 07:46 ?        00:00:01 /usr/libexec/gsd-housekeeping
daadest+    3210    2744  0 07:46 ?        00:00:00 /usr/libexec/gsd-keyboard
daadest+    3211    2744  0 07:46 ?        00:00:01 /usr/libexec/gsd-media-keys
daadest+    3212    2744  0 07:46 ?        00:00:01 /usr/libexec/gsd-power
daadest+    3215    2744  0 07:46 ?        00:00:00 /usr/libexec/gsd-print-notifications
daadest+    3218    2775  0 07:46 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.3 /org/gtk/gvfs/exec_spaw/0
daadest+    3219    2744  0 07:46 ?        00:00:00 /usr/libexec/gsd-rfkill
daadest+    3222    2744  0 07:46 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
daadest+    3223    2744  0 07:46 ?        00:00:02 /usr/libexec/gsd-sharing
daadest+    3234    2744  0 07:46 ?        00:00:00 /usr/libexec/gsd-smartcard
daadest+    3237    2744  0 07:46 ?        00:00:00 /usr/libexec/gsd-sound
daadest+    3242    2744  0 07:46 ?        00:00:00 /usr/libexec/gsd-usb-protection
daadest+    3243    2744  0 07:46 ?        00:00:00 /usr/libexec/gsd-wacom
